date,text,,,,,,,,,url
3/25/17,Washington Nationals optioned LHP Matt Grace to Syracuse Chiefs.,,,,,,,,,
3/25/17,Washington Nationals optioned RF Brian Goodwin to Syracuse Chiefs.,,,,,,,,,
3/25/17,Washington Nationals optioned C Pedro Severino to Syracuse Chiefs.,,,,,,,,,
3/25/17,Washington Nationals optioned RHP Rafael Martin to Syracuse Chiefs.,,,,,,,,,
3/27/17,RHP Mariano Rivera assigned to Washington Nationals.,,,,,,,,,
3/28/17,IF Khayyan Norfork assigned to Washington Nationals.,,,,,,,,,
3/29/17,C Nick Rickles assigned to Washington Nationals.,,,,,,,,,
3/29/17,RHP Mark Blackmar assigned to Washington Nationals.,,,,,,,,,
3/29/17,RHP Derek Self assigned to Washington Nationals.,,,,,,,,,
3/29/17,Washington Nationals optioned A.J. Cole to Syracuse Chiefs.,,,,,,,,,
3/29/17,Washington Nationals optioned Trevor Gott to Syracuse Chiefs.,,,,,,,,,
3/31/17,Washington Nationals sent Clint Robinson outright to Syracuse Chiefs.,,,,,,,,,
4/2/17,Washington Nationals optioned Joe Ross to Syracuse Chiefs.,,,,,http://m.nationals.mlb.com/roster/transactions/2017/04,,,,
